Test Index,Train Index,Score,Computing Time (s),Space Usage (MB),Same Class
0,9,568.5877711397351,0.001958542000011221,1.0436725616455078,False
1,9,569.6442071187597,0.001900149999983114,1.0434894561767578,False
2,9,572.3187388269635,0.0017558079998707399,1.0435504913330078,False
3,9,576.3175031454782,0.0018616160000419768,1.0435199737548828,False
4,9,569.8729158812604,0.0018131410001842596,1.0435504913330078,False
5,9,571.9940225971562,0.0018677070002013352,1.0434894561767578,False
6,9,573.1338130649925,0.0018898049997915223,1.0435810089111328,False
7,9,573.379250108663,0.003236586000184616,1.0435504913330078,False
8,9,570.1633841905518,0.0019137989997943805,1.0435199737548828,False
9,9,575.6112802852853,0.0018877339998653042,1.0435504913330078,False
10,8,559.8131617031514,0.0019345480000083626,1.0434589385986328,False
11,9,578.1190450018363,0.0017741219999152236,1.0435504913330078,False
12,9,575.1748293523198,0.0017936740000550344,1.0435810089111328,False
13,9,567.3166406112551,0.0018187670002589584,1.0435504913330078,False
14,9,577.28157780982,0.0018493110001145396,1.0436115264892578,False
15,9,568.620385915305,0.0018130739999833168,1.0436115264892578,False
16,9,565.0353874156659,0.001838203999795951,1.0434589385986328,False
17,9,573.5136538844566,0.0018685529998947459,1.0435199737548828,False
18,9,567.6581160380289,0.0018718080000326154,1.0435199737548828,False
19,9,572.041888136878,0.0018297569999958796,1.0436115264892578,False
20,9,574.4341707519151,0.0018774660002236487,1.0435199737548828,False
21,9,574.5801598856356,0.001848745999723178,1.0435810089111328,False
22,9,565.7404469836574,0.001758321999659529,1.0434894561767578,False
23,9,569.7663430648073,0.0017694609996397048,1.0435504913330078,False
24,9,576.0275652213809,0.001878279999800725,1.0435810089111328,False
25,9,575.2092618861501,0.0018408000000817992,1.0436115264892578,False
26,8,570.0763988087574,0.0018281160000697128,1.0433979034423828,False
27,9,578.4229401486966,0.0018627859999469365,1.0435810089111328,False
28,9,566.3842856842123,0.0018709410001065407,1.0435504913330078,False
29,9,571.7300445817363,0.0018220849997305777,1.0435199737548828,False
30,9,569.3825467535963,0.0018547970003055525,1.0435504913330078,False
31,8,142.3972876619457,0.0016770420002103492,1.041604995727539,False
32,9,564.2189095254535,0.0018226259999210015,1.0436115264892578,False
33,9,569.5526366163157,0.001760682000167435,1.0435810089111328,False
34,9,569.544499277293,0.001768043999618385,1.0435810089111328,False
